Abadia dos Dourados;310010;31074;PATROCINIO / MONTE CARMELO;27/03/2020;13;6989;0;0;0
Abadia dos Dourados;310010;31074;PATROCINIO / MONTE CARMELO;18/04/2020;16;6989;0;0;0
Abadia dos Dourados;310010;31074;PATROCINIO / MONTE CARMELO;18/04/2020;16;6989;0;0;0
Wenceslau Braz;317220;31003;ITAJUBA;12/05/2021;19;2552;155;5;4
Santa Luzia;315780;31016;BELO HORIZONTE/ NOVA LIMA/ CAETE ;10/02/2021;6;219134;4750;62;162
Santa Luzia;315780;31016;BELO HORIZONTE/ NOVA LIMA/ CAETE ;10/02/2021;6;219134;4750;62;162
Santa Luzia;315780;31016;BELO HORIZONTE/ NOVA LIMA/ CAETE ;10/02/2021;6;219134;4750;62;162
